url,type,lang,http_status,final_url,redirect_chain,content_length,last_modified,content_type,title,description,h1,canonical,robots,og_title,og_description,og_image,og_locale,og_type,hreflang_count,hreflang_list,elapsed_ms,error
https://dikoros-ua.com/en/obmin-ta-povernennya/,page,en,200,https://dikoros-ua.com/en/obmin-ta-povernennya/,,86972,,text/html; charset=UTF-8,Mushroom and herb supplier Dikoros: exchange and return policies,"Terms of exchange and return of dried fly agarics, tinctures and microdosing in the Dikoros store. A wide range of medicinal and dried herbs in the online catalog dikoros-ua.com",Returns & Exchanges,https://dikoros-ua.com/en/obmin-ta-povernennya/,all,Mushroom and herb supplier Dikoros: exchange and return policies,"Terms of exchange and return of dried fly agarics, tinctures and microdosing in the Dikoros store. A wide range of medicinal and dried herbs in the online catalog dikoros-ua.com",,en_US,article,3,uk=https://dikoros-ua.com/obmin-ta-povernennya/|en=https://dikoros-ua.com/en/obmin-ta-povernennya/|ru=https://dikoros-ua.com/ru/obmin-ta-povernennya/,532,
https://dikoros-ua.com/ru/obmin-ta-povernennya/,page,ru,200,https://dikoros-ua.com/ru/obmin-ta-povernennya/,,95382,,text/html; charset=UTF-8,Поставщик грибов и трав Дикорос: правила обмена и возврата,"Условия обмена и возврата сушеных мухоморов, настоек и микродозинга в магазине Dikoros. Широкий ассортимент лекарственных и сушеных трав в онлайн-каталоге dikoros-ua.com","Обмен и возврат на сайте производителя продукции из грибов, трав и ягод Dikoros",https://dikoros-ua.com/ru/obmin-ta-povernennya/,all,Поставщик грибов и трав Дикорос: правила обмена и возврата,"Условия обмена и возврата сушеных мухоморов, настоек и микродозинга в магазине Dikoros. Широкий ассортимент лекарственных и сушеных трав в онлайн-каталоге dikoros-ua.com",,ru_RU,article,3,uk=https://dikoros-ua.com/obmin-ta-povernennya/|en=https://dikoros-ua.com/en/obmin-ta-povernennya/|ru=https://dikoros-ua.com/ru/obmin-ta-povernennya/,500,
https://dikoros-ua.com/blog/,page,ua,200,https://dikoros-ua.com/blog/,,117373,,text/html; charset=UTF-8,Блог інтернет-магазину Дикорос — корисні рослини та гриби України,"Все про дикорослі рослини та гриби — корисні та цікаві статті у блозі від виробника продукції з мухоморів, трав та ягід Дикорос. Переглянути увесь асортимент мікродозінгу та настоянок на dikoros-ua.com",Блог про корисні рослини та гриби України,https://dikoros-ua.com/blog/,all,Блог інтернет-магазину Дикорос — корисні рослини та гриби України,"Все про дикорослі рослини та гриби — корисні та цікаві статті у блозі від виробника продукції з мухоморів, трав та ягід Дикорос. Переглянути увесь асортимент мікродозінгу та настоянок на dikoros-ua.com",https://dikoros-ua.com/content/images/2/632x650l90nn0/44005449345320.jpg,ua_UA,article,3,uk=https://dikoros-ua.com/blog/|en=https://dikoros-ua.com/en/blog/|ru=https://dikoros-ua.com/ru/blog/,468,
https://dikoros-ua.com/en/blog/,page,en,200,https://dikoros-ua.com/en/blog/,,113207,,text/html; charset=UTF-8,The blog of the Dykoros — useful plants and mushrooms of Ukraine,"All about wild plants and mushrooms - useful and interesting blog articles from the producer of fly agaric, herb and berry products Dykoros. View the entire assortment of microdosing and tinctures at dikoros-ua.com",Blog about useful plants and mushrooms of Ukraine,https://dikoros-ua.com/en/blog/,all,The blog of the Dykoros — useful plants and mushrooms of Ukraine,"All about wild plants and mushrooms - useful and interesting blog articles from the producer of fly agaric, herb and berry products Dykoros. View the entire assortment of microdosing and tinctures at dikoros-ua.com",https://dikoros-ua.com/content/images/2/632x650l90nn0/44005449345320.jpg,en_US,article,3,uk=https://dikoros-ua.com/blog/|en=https://dikoros-ua.com/en/blog/|ru=https://dikoros-ua.com/ru/blog/,375,
https://dikoros-ua.com/ru/blog/,page,ru,200,https://dikoros-ua.com/ru/blog/,,117933,,text/html; charset=UTF-8,Блог магазина Дикорос — полезные растения и грибы Украины,"Все о дикорастущих растениях и грибах — полезные и интересные статьи в блоге от производителя продукции из мухоморов, трав и ягод Дикорос. Просмотреть весь ассортимент микродозинга и настоек на dikoros-ua.com",Блог о полезных растениях и грибах Украины,https://dikoros-ua.com/ru/blog/,all,Блог магазина Дикорос — полезные растения и грибы Украины,"Все о дикорастущих растениях и грибах — полезные и интересные статьи в блоге от производителя продукции из мухоморов, трав и ягод Дикорос. Просмотреть весь ассортимент микродозинга и настоек на dikoros-ua.com",https://dikoros-ua.com/content/images/2/632x650l90nn0/44005449345320.jpg,ru_RU,article,3,uk=https://dikoros-ua.com/blog/|en=https://dikoros-ua.com/en/blog/|ru=https://dikoros-ua.com/ru/blog/,407,
https://dikoros-ua.com/mizhnarodni-vidpravky/,page,ua,200,https://dikoros-ua.com/mizhnarodni-vidpravky/,,95552,,text/html; charset=UTF-8,Відправлення грибів та лікарських рослин за кордон — магазин Dikoros,"Умови міжнародної доставки продукції з мухоморів, трав та ягід в магазині Дикорос. Широкий каталог грибів у капсулах, сушених трав та ягід — замовити з доставкою за кордон",Міжнародні відправки дикорослих рослин та грибів — Dikoros,https://dikoros-ua.com/mizhnarodni-vidpravky/,all,Відправлення грибів та лікарських рослин за кордон — магазин Dikoros,"Умови міжнародної доставки продукції з мухоморів, трав та ягід в магазині Дикорос. Широкий каталог грибів у капсулах, сушених трав та ягід — замовити з доставкою за кордон",,ua_UA,article,3,uk=https://dikoros-ua.com/mizhnarodni-vidpravky/|en=https://dikoros-ua.com/en/mizhnarodni-vidpravky/|ru=https://dikoros-ua.com/ru/mizhnarodni-vidpravky/,791,
https://dikoros-ua.com/en/mizhnarodni-vidpravky/,page,en,200,https://dikoros-ua.com/en/mizhnarodni-vidpravky/,,90645,,text/html; charset=UTF-8,Sending mushrooms and medicinal plants abroad — Dikoros store,"Terms of international delivery of products from fly agarics, herbs and berries in the Dykoros store. A wide catalog of mushrooms in capsules, dried herbs and berries - order with delivery abroad",International shipments of wild plants and mushrooms — Dikoros,https://dikoros-ua.com/en/mizhnarodni-vidpravky/,all,Sending mushrooms and medicinal plants abroad — Dikoros store,"Terms of international delivery of products from fly agarics, herbs and berries in the Dykoros store. A wide catalog of mushrooms in capsules, dried herbs and berries - order with delivery abroad",,en_US,article,3,uk=https://dikoros-ua.com/mizhnarodni-vidpravky/|en=https://dikoros-ua.com/en/mizhnarodni-vidpravky/|ru=https://dikoros-ua.com/ru/mizhnarodni-vidpravky/,425,
https://dikoros-ua.com/ru/mizhnarodni-vidpravky/,page,ru,200,https://dikoros-ua.com/ru/mizhnarodni-vidpravky/,,95186,,text/html; charset=UTF-8,Отправка грибов и лекарственных растений за границу - магазин Dikoros,"Условия международной доставки продукции из мухоморов, трав и ягод в магазине Дикорос. Широкий каталог грибов в капсулах, сушеных травах и ягодах — заказать с доставкой за границу",Международные отправки дикорастущих растений и грибов - Dikoros,https://dikoros-ua.com/ru/mizhnarodni-vidpravky/,all,Отправка грибов и лекарственных растений за границу - магазин Dikoros,"Условия международной доставки продукции из мухоморов, трав и ягод в магазине Дикорос. Широкий каталог грибов в капсулах, сушеных травах и ягодах — заказать с доставкой за границу",,ru_RU,article,3,uk=https://dikoros-ua.com/mizhnarodni-vidpravky/|en=https://dikoros-ua.com/en/mizhnarodni-vidpravky/|ru=https://dikoros-ua.com/ru/mizhnarodni-vidpravky/,448,
https://dikoros-ua.com/kontaktna-informatsiya/,page,ua,200,https://dikoros-ua.com/kontaktna-informatsiya/,,95063,,text/html; charset=UTF-8,"Контактна інформація онлайн-магазину мікродозингу, ягід Дикорос","Контакти виробника продукції з мухоморів, трав та ягід ДикоросUA з Чернігова. Замовити мікродозінг, настоянки, мазі за доступною ціною на dikoros-ua.com",Контактна інформація магазину дикорослих рослин Dikoros,https://dikoros-ua.com/kontaktna-informatsiya/,all,"Контактна інформація онлайн-магазину мікродозингу, ягід Дикорос","Контакти виробника продукції з мухоморів, трав та ягід ДикоросUA з Чернігова. Замовити мікродозінг, настоянки, мазі за доступною ціною на dikoros-ua.com",https://dikoros-ua.com/content/images/2/632x650l90nn0/44005449345320.jpg,ua_UA,article,3,uk=https://dikoros-ua.com/kontaktna-informatsiya/|en=https://dikoros-ua.com/en/kontaktna-informatsiya/|ru=https://dikoros-ua.com/ru/kontaktna-informatsiya/,343,
https://dikoros-ua.com/en/kontaktna-informatsiya/,page,en,200,https://dikoros-ua.com/en/kontaktna-informatsiya/,,92658,,text/html; charset=UTF-8,"Contact information of the microdosing online store, Dykoros berries","Contacts of the producer of fly agaric, herb and berry products DykorosUA from Chernihiv. Order microdosing, tinctures, ointments at an affordable price at dikoros-ua.com",Contact information for the wild plant shop Dikoros,https://dikoros-ua.com/en/kontaktna-informatsiya/,all,"Contact information of the microdosing online store, Dykoros berries","Contacts of the producer of fly agaric, herb and berry products DykorosUA from Chernihiv. Order microdosing, tinctures, ointments at an affordable price at dikoros-ua.com",https://dikoros-ua.com/content/images/2/632x650l90nn0/44005449345320.jpg,en_US,article,3,uk=https://dikoros-ua.com/kontaktna-informatsiya/|en=https://dikoros-ua.com/en/kontaktna-informatsiya/|ru=https://dikoros-ua.com/ru/kontaktna-informatsiya/,433,
